"Census Tract","Census Block Group","County","County ID","Region","Economic Domain Score (by region)","Environmental Domain Score (by region)","Education Domain Score (by region)","Composite Index Score","Final Category"
"06037228900","#N/A","Los Angeles","06037","Los Angeles Region","0.029","0.054","0.102","#N/A","High Segregation & Poverty"
"06037229100","#N/A","Los Angeles","06037","Los Angeles Region","0.177","0.149","0.077","-0.657","Low Resource"
"06037229200","#N/A","Los Angeles","06037","Los Angeles Region","0.4","0.443","0.04","-0.512","Low Resource"
"06037229300","#N/A","Los Angeles","06037","Los Angeles Region","0.101","0.436","0.035","#N/A","High Segregation & Poverty"
"06037229410","#N/A","Los Angeles","06037","Los Angeles Region","0.331","0.175","0.047","#N/A","High Segregation & Poverty"
"06037229420","#N/A","Los Angeles","06037","Los Angeles Region","0.182","0.133","0.013","-0.825","Low Resource"
"06037231100","#N/A","Los Angeles","06037","Los Angeles Region","0.012","0.131","0.363","#N/A","High Segregation & Poverty"
"06037231210","#N/A","Los Angeles","06037","Los Angeles Region","0.373","0.567","0.139","#N/A","High Segregation & Poverty"
"06037231220","#N/A","Los Angeles","06037","Los Angeles Region","0.161","0.656","0.191","-0.401","Low Resource"
"06037231300","#N/A","Los Angeles","06037","Los Angeles Region","0.58","0.56","0.139","-0.251","Moderate Resource"
"06037231400","#N/A","Los Angeles","06037","Los Angeles Region","0.575","0.633","0.38","-0.079","Moderate Resource"
"06037231500","#N/A","Los Angeles","06037","Los Angeles Region","0.601","0.528","0.321","-0.125","Moderate Resource"
"06037231600","#N/A","Los Angeles","06037","Los Angeles Region","0.367","0.452","0.216","-0.329","Low Resource"
"06037231710","#N/A","Los Angeles","06037","Los Angeles Region","0.049","0.545","0.279","#N/A","High Segregation & Poverty"
"06037231720","#N/A","Los Angeles","06037","Los Angeles Region","0.236","0.226","0.382","-0.364","Low Resource"
"06037231800","#N/A","Los Angeles","06037","Los Angeles Region","0.235","0.12","0.41","#N/A","High Segregation & Poverty"
"06037231900","#N/A","Los Angeles","06037","Los Angeles Region","0.194","0.155","0.067","#N/A","High Segregation & Poverty"
"06037232110","#N/A","Los Angeles","06037","Los Angeles Region","0.171","0.591","0.098","-0.497","Low Resource"
"06037232120","#N/A","Los Angeles","06037","Los Angeles Region","0.103","0.205","0.081","-0.679","Low Resource"
"06037232200","#N/A","Los Angeles","06037","Los Angeles Region","0.29","0.559","0.11","-0.426","Low Resource"
"06037232300","#N/A","Los Angeles","06037","Los Angeles Region","0.593","0.572","0.065","-0.322","Low Resource"
"06037232400","#N/A","Los Angeles","06037","Los Angeles Region","0.391","0.585","0.084","-0.4","Low Resource"
"06037232500","#N/A","Los Angeles","06037","Los Angeles Region","0.354","0.272","0.476","-0.218","Moderate Resource"
"06037232600","#N/A","Los Angeles","06037","Los Angeles Region","0.291","0.531","0.043","#N/A","High Segregation & Poverty"
"06037232700","#N/A","Los Angeles","06037","Los Angeles Region","0.272","0.241","0.022","#N/A","High Segregation & Poverty"
"06037232800","#N/A","Los Angeles","06037","Los Angeles Region","0.342","0.116","0.047","#N/A","High Segregation & Poverty"
"06037234000","#N/A","Los Angeles","06037","Los Angeles Region","0.608","0.729","0.09","-0.248","Moderate Resource"
"06037234200","#N/A","Los Angeles","06037","Los Angeles Region","0.871","0.734","0.017","-0.155","Moderate Resource"
"06037234300","#N/A","Los Angeles","06037","Los Angeles Region","0.665","0.785","0.205","-0.094","Moderate Resource"
"06037234501","#N/A","Los Angeles","06037","Los Angeles Region","0.546","0.771","0.129","-0.233","Moderate Resource"
"06037234502","#N/A","Los Angeles","06037","Los Angeles Region","0.28","0.768","0.118","-0.373","Low Resource"
"06037234600","#N/A","Los Angeles","06037","Los Angeles Region","0.678","0.645","0.043","-0.306","Moderate Resource"
"06037234700","#N/A","Los Angeles","06037","Los Angeles Region","0.751","0.569","0.081","-0.195","Moderate Resource"
"06037234800","#N/A","Los Angeles","06037","Los Angeles Region","0.667","0.498","0.077","-0.277","Moderate Resource"
"06037234901","#N/A","Los Angeles","06037","Los Angeles Region","0.073","0.655","0.08","#N/A","High Segregation & Poverty"
"06037234902","#N/A","Los Angeles","06037","Los Angeles Region","0.285","0.582","0.094","-0.439","Low Resource"
"06037235100","#N/A","Los Angeles","06037","Los Angeles Region","0.76","0.764","0.11","-0.109","Moderate Resource"
"06037235201","#N/A","Los Angeles","06037","Los Angeles Region","0.425","0.696","0.081","-0.36","Low Resource"
"06037235202","#N/A","Los Angeles","06037","Los Angeles Region","0.408","0.604","0.176","-0.297","Moderate Resource"
"06037236000","#N/A","Los Angeles","06037","Los Angeles Region","0.848","0.527","0.312","0.078","High Resource"
"06037236100","#N/A","Los Angeles","06037","Los Angeles Region","0.496","0.726","0.021","-0.433","Low Resource"
"06037236202","#N/A","Los Angeles","06037","Los Angeles Region","0.143","0.665","0.026","#N/A","High Segregation & Poverty"
"06037236203","#N/A","Los Angeles","06037","Los Angeles Region","0.404","0.713","0.002","#N/A","High Segregation & Poverty"
"06037236204","#N/A","Los Angeles","06037","Los Angeles Region","0.14","0.666","0.026","#N/A","High Segregation & Poverty"
"06037236400","#N/A","Los Angeles","06037","Los Angeles Region","0.873","0.777","0.001","-0.29","Moderate Resource"
"06037237101","#N/A","Los Angeles","06037","Los Angeles Region","0.189","0.535","0.066","-0.538","Low Resource"
"06037237102","#N/A","Los Angeles","06037","Los Angeles Region","0.123","0.116","0.019","-0.848","Low Resource"
"06037237201","#N/A","Los Angeles","06037","Los Angeles Region","0.2","0.598","0.066","-0.517","Low Resource"
"06037237202","#N/A","Los Angeles","06037","Los Angeles Region","0.244","0.276","0.39","-0.334","Low Resource"
"06037237300","#N/A","Los Angeles","06037","Los Angeles Region","0.468","0.568","0.216","-0.251","Moderate Resource"
"06037237401","#N/A","Los Angeles","06037","Los Angeles Region","0.257","0.593","0.082","#N/A","High Segregation & Poverty"
"06037237402","#N/A","Los Angeles","06037","Los Angeles Region","0.502","0.673","0.092","-0.316","Low Resource"
"06037237500","#N/A","Los Angeles","06037","Los Angeles Region","0.135","0.616","0.072","#N/A","High Segregation & Poverty"
"06037237600","#N/A","Los Angeles","06037","Los Angeles Region","0.13","0.162","0.072","#N/A","High Segregation & Poverty"
"06037237710","#N/A","Los Angeles","06037","Los Angeles Region","0.168","0.283","0.079","#N/A","High Segregation & Poverty"
"06037237720","#N/A","Los Angeles","06037","Los Angeles Region","0.115","0.263","0.104","#N/A","High Segregation & Poverty"
"06037237800","#N/A","Los Angeles","06037","Los Angeles Region","0.466","0.673","0.098","-0.325","Low Resource"
"06037237900","#N/A","Los Angeles","06037","Los Angeles Region","0.438","0.662","0.161","-0.281","Moderate Resource"
"06037238000","#N/A","Los Angeles","06037","Los Angeles Region","0.39","0.669","0.004","-0.593","Low Resource"
"06037238100","#N/A","Los Angeles","06037","Los Angeles Region","0.465","0.543","0.15","-0.303","Moderate Resource"
"06037238200","#N/A","Los Angeles","06037","Los Angeles Region","0.247","0.495","0.065","-0.516","Low Resource"
"06037238310","#N/A","Los Angeles","06037","Los Angeles Region","0.054","0.277","0.103","#N/A","High Segregation & Poverty"
"06037238320","#N/A","Los Angeles","06037","Los Angeles Region","0.188","0.217","0.103","#N/A","High Segregation & Poverty"
"06037238400","#N/A","Los Angeles","06037","Los Angeles Region","0.506","0.569","0.026","-0.454","Low Resource"
"06037239201","#N/A","Los Angeles","06037","Los Angeles Region","0.292","0.079","0.059","-0.688","Low Resource"
"06037239202","#N/A","Los Angeles","06037","Los Angeles Region","0.287","0.044","0.078","-0.699","Low Resource"
"06037239310","#N/A","Los Angeles","06037","Los Angeles Region","0.112","0.117","0.099","#N/A","High Segregation & Poverty"
"06037239320","#N/A","Los Angeles","06037","Los Angeles Region","0.176","0.449","0.135","#N/A","High Segregation & Poverty"
"06037239330","#N/A","Los Angeles","06037","Los Angeles Region","0.238","0.152","0.135","#N/A","High Segregation & Poverty"
"06037239501","#N/A","Los Angeles","06037","Los Angeles Region","0.147","0.309","0.055","-0.648","Low Resource"
"06037239502","#N/A","Los Angeles","06037","Los Angeles Region","0.138","0.446","0.059","-0.607","Low Resource"
"06037239601","#N/A","Los Angeles","06037","Los Angeles Region","0.259","0.186","0.131","-0.54","Low Resource"
"06037239602","#N/A","Los Angeles","06037","Los Angeles Region","0.033","0.191","0.095","#N/A","High Segregation & Poverty"
"06037239701","#N/A","Los Angeles","06037","Los Angeles Region","0.282","0.205","0.095","#N/A","High Segregation & Poverty"
"06037239702","#N/A","Los Angeles","06037","Los Angeles Region","0.037","0.199","0.062","#N/A","High Segregation & Poverty"
"06037239801","#N/A","Los Angeles","06037","Los Angeles Region","0.268","0.531","0.033","-0.569","Low Resource"
"06037239802","#N/A","Los Angeles","06037","Los Angeles Region","0.109","0.416","0.033","-0.698","Low Resource"
"06037240010","#N/A","Los Angeles","06037","Los Angeles Region","0.066","0.397","0.082","#N/A","High Segregation & Poverty"
"06037240020","#N/A","Los Angeles","06037","Los Angeles Region","0.319","0.485","0.086","-0.456","Low Resource"
"06037240200","#N/A","Los Angeles","06037","Los Angeles Region","0.184","0.18","0.071","#N/A","High Segregation & Poverty"
"06037240300","#N/A","Los Angeles","06037","Los Angeles Region","0.201","0.232","0.22","#N/A","High Segregation & Poverty"
"06037240401","#N/A","Los Angeles","06037","Los Angeles Region","0.206","0.298","0.099","#N/A","High Segregation & Poverty"
"06037240402","#N/A","Los Angeles","06037","Los Angeles Region","0.369","0.191","0.001","-0.812","Low Resource"
"06037240500","#N/A","Los Angeles","06037","Los Angeles Region","0.085","0.119","0.004","-0.992","Low Resource"
"06037240600","#N/A","Los Angeles","06037","Los Angeles Region","0.158","0.318","0.008","-0.782","Low Resource"
"06037240700","#N/A","Los Angeles","06037","Los Angeles Region","0.225","0.333","0.005","-0.752","Low Resource"
"06037240800","#N/A","Los Angeles","06037","Los Angeles Region","0.249","0.268","0.011","-0.738","Low Resource"
"06037240900","#N/A","Los Angeles","06037","Los Angeles Region","0.147","0.306","0","-0.965","Low Resource"
"06037241001","#N/A","Los Angeles","06037","Los Angeles Region","0.085","0.108","0.012","-0.927","Low Resource"
"06037241002","#N/A","Los Angeles","06037","Los Angeles Region","0.17","0.101","0.245","-0.564","Low Resource"
"06037241110","#N/A","Los Angeles","06037","Los Angeles Region","0.238","0.368","0.003","-0.784","Low Resource"
"06037241120","#N/A","Los Angeles","06037","Los Angeles Region","0.104","0.146","0.006","#N/A","High Segregation & Poverty"
"06037241201","#N/A","Los Angeles","06037","Los Angeles Region","0.271","0.21","0.002","-0.847","Low Resource"
"06037241202","#N/A","Los Angeles","06037","Los Angeles Region","0.132","0.111","0.003","#N/A","High Segregation & Poverty"
"06037241300","#N/A","Los Angeles","06037","Los Angeles Region","0.211","0.09","0","-1.079","Low Resource"
"06037241400","#N/A","Los Angeles","06037","Los Angeles Region","0.113","0.096","0.012","-0.914","Low Resource"
"06037242000","#N/A","Los Angeles","06037","Los Angeles Region","0.061","0.313","0.114","#N/A","High Segregation & Poverty"
"06037242100","#N/A","Los Angeles","06037","Los Angeles Region","0.004","0.176","0.085","#N/A","High Segregation & Poverty"
"06037242200","#N/A","Los Angeles","06037","Los Angeles Region","0.021","0.293","0.1","#N/A","High Segregation & Poverty"
"06037242300","#N/A","Los Angeles","06037","Los Angeles Region","0.044","0.371","0.088","#N/A","High Segregation & Poverty"
"06037242600","#N/A","Los Angeles","06037","Los Angeles Region","0.009","0.068","0.128","#N/A","High Segregation & Poverty"
"06037242700","#N/A","Los Angeles","06037","Los Angeles Region","0.122","0.191","0.058","-0.702","Low Resource"
"06037243000","#N/A","Los Angeles","06037","Los Angeles Region","0.096","0.257","0.048","-0.715","Low Resource"
"06037243100","#N/A","Los Angeles","06037","Los Angeles Region","0.022","0.131","0.109","#N/A","High Segregation & Poverty"
"06037261101","#N/A","Los Angeles","06037","Los Angeles Region","0.993","0.829","0.845","0.985","Highest Resource"
"06037261102","#N/A","Los Angeles","06037","Los Angeles Region","0.985","0.893","0.888","1.01","Highest Resource"
"06037261200","#N/A","Los Angeles","06037","Los Angeles Region","0.971","0.905","0.949","1.096","Highest Resource"
"06037262100","#N/A","Los Angeles","06037","Los Angeles Region","0.99","0.788","0.975","1.196","Highest Resource"
"06037262200","#N/A","Los Angeles","06037","Los Angeles Region","0.987","0.356","0.959","1.032","Highest Resource"
"06037262301","#N/A","Los Angeles","06037","Los Angeles Region","0.963","0.555","0.971","1.035","Highest Resource"
"06037262302","#N/A","Los Angeles","06037","Los Angeles Region","0.976","0.623","0.891","0.902","Highest Resource"
"06037262303","#N/A","Los Angeles","06037","Los Angeles Region","0.965","0.868","0.972","1.129","Highest Resource"
"06037262400","#N/A","Los Angeles","06037","Los Angeles Region","0.979","0.926","0.965","1.173","Highest Resource"
"06037262501","#N/A","Los Angeles","06037","Los Angeles Region","0.958","0.865","0.985","1.146","Highest Resource"
"06037262601","#N/A","Los Angeles","06037","Los Angeles Region","0.982","0.985","0.95","1.245","Highest Resource"
"06037262604","#N/A","Los Angeles","06037","Los Angeles Region","0.966","0.836","0.985","1.166","Highest Resource"
"06037262704","#N/A","Los Angeles","06037","Los Angeles Region","0.952","0.751","0.985","1.102","Highest Resource"
"06037262706","#N/A","Los Angeles","06037","Los Angeles Region","0.965","0.857","0.985","1.17","Highest Resource"
"06037262802","#N/A","Los Angeles","06037","Los Angeles Region","0.962","0.879","0.987","1.175","Highest Resource"
"06037264000","#N/A","Los Angeles","06037","Los Angeles Region","0.967","0.924","0.94","1.079","Highest Resource"
"06037264102","#N/A","Los Angeles","06037","Los Angeles Region","0.923","0.95","0.771","0.757","Highest Resource"
"06037264103","#N/A","Los Angeles","06037","Los Angeles Region","0.947","0.938","0.854","0.886","Highest Resource"
"06037264301","#N/A","Los Angeles","06037","Los Angeles Region","0.919","0.838","0.854","0.783","Highest Resource"
"06037264302","#N/A","Los Angeles","06037","Los Angeles Region","0.954","0.86","0.913","0.951","Highest Resource"
"06037265100","#N/A","Los Angeles","06037","Los Angeles Region","0.985","0.867","0.968","1.172","Highest Resource"
"06037265201","#N/A","Los Angeles","06037","Los Angeles Region","0.815","0.894","0.968","0.874","Highest Resource"
"06037265202","#N/A","Los Angeles","06037","Los Angeles Region","0.61","0.843","0.968","0.689","Highest Resource"
"06037265301","#N/A","Los Angeles","06037","Los Angeles Region","#N/A","#N/A","#N/A","#N/A","#N/A"
"06037265303","#N/A","Los Angeles","06037","Los Angeles Region","0.074","0.938","0.972","0.446","High Resource"
"06037265304","#N/A","Los Angeles","06037","Los Angeles Region","0.013","0.901","0.972","0.251","High Resource"
"06037265305","#N/A","Los Angeles","06037","Los Angeles Region","0.181","0.798","0.945","0.4","High Resource"
"06037265410","#N/A","Los Angeles","06037","Los Angeles Region","0.941","0.605","0.888","0.802","Highest Resource"
"06037265420","#N/A","Los Angeles","06037","Los Angeles Region","0.991","0.796","0.962","1.16","Highest Resource"
"06037265510","#N/A","Los Angeles","06037","Los Angeles Region","0.544","0.892","0.926","0.574","Highest Resource"
"06037265520","#N/A","Los Angeles","06037","Los Angeles Region","0.872","0.663","0.926","0.776","Highest Resource"
"06037265601","#N/A","Los Angeles","06037","Los Angeles Region","0.926","0.873","0.966","1.023","Highest Resource"
"06037265602","#N/A","Los Angeles","06037","Los Angeles Region","0.919","0.923","0.968","1.038","Highest Resource"
"06037265700","#N/A","Los Angeles","06037","Los Angeles Region","0.978","0.888","0.966","1.157","Highest Resource"
"06037267100","#N/A","Los Angeles","06037","Los Angeles Region","0.935","0.823","0.967","1.016","Highest Resource"
"06037267200","#N/A","Los Angeles","06037","Los Angeles Region","0.823","0.619","0.926","0.699","Highest Resource"
"06037267300","#N/A","Los Angeles","06037","Los Angeles Region","0.798","0.211","0.797","0.366","High Resource"
"06037267402","#N/A","Los Angeles","06037","Los Angeles Region","0.946","0.817","0.786","0.741","Highest Resource"
"06037267403","#N/A","Los Angeles","06037","Los Angeles Region","0.836","0.547","0.797","0.511","Highest Resource"
"06037267404","#N/A","Los Angeles","06037","Los Angeles Region","0.801","0.636","0.764","0.452","High Resource"
"06037267501","#N/A","Los Angeles","06037","Los Angeles Region","0.799","0.549","0.797","0.468","Highest Resource"
"06037267502","#N/A","Los Angeles","06037","Los Angeles Region","0.875","0.527","0.764","0.521","Highest Resource"
"06037267600","#N/A","Los Angeles","06037","Los Angeles Region","0.787","0.382","0.867","0.495","Highest Resource"
"06037267700","#N/A","Los Angeles","06037","Los Angeles Region","0.915","0.32","0.867","0.652","Highest Resource"
"06037267800","#N/A","Los Angeles","06037","Los Angeles Region","0.943","0.68","0.953","0.96","Highest Resource"
"06037267901","#N/A","Los Angeles","06037","Los Angeles Region","0.883","0.952","0.924","0.906","Highest Resource"
"06037267902","#N/A","Los Angeles","06037","Los Angeles Region","0.934","0.904","0.956","1.025","Highest Resource"
"06037269000","#N/A","Los Angeles","06037","Los Angeles Region","0.989","0.886","0.934","1.116","Highest Resource"
"06037269100","#N/A","Los Angeles","06037","Los Angeles Region","0.961","0.949","0.876","0.959","Highest Resource"
"06037269300","#N/A","Los Angeles","06037","Los Angeles Region","0.994","0.851","0.887","1.06","Highest Resource"
"06037269500","#N/A","Los Angeles","06037","Los Angeles Region","0.996","0.934","0.749","0.961","Highest Resource"
"06037269601","#N/A","Los Angeles","06037","Los Angeles Region","0.76","0.299","0.519","0.063","High Resource"
"06037269602","#N/A","Los Angeles","06037","Los Angeles Region","0.885","0.801","0.749","0.591","Highest Resource"
"06037269700","#N/A","Los Angeles","06037","Los Angeles Region","0.914","0.253","0.771","0.522","Highest Resource"
"06037269800","#N/A","Los Angeles","06037","Los Angeles Region","0.957","0.705","0.86","0.821","Highest Resource"
"06037269903","#N/A","Los Angeles","06037","Los Angeles Region","0.904","0.835","0.75","0.634","Highest Resource"
"06037269904","#N/A","Los Angeles","06037","Los Angeles Region","0.93","0.82","0.722","0.646","Highest Resource"
"06037269905","#N/A","Los Angeles","06037","Los Angeles Region","0.97","0.74","0.75","0.743","Highest Resource"
"06037269906","#N/A","Los Angeles","06037","Los Angeles Region","0.949","0.902","0.75","0.747","Highest Resource"
"06037269907","#N/A","Los Angeles","06037","Los Angeles Region","0.893","0.763","0.851","0.714","Highest Resource"
"06037270100","#N/A","Los Angeles","06037","Los Angeles Region","0.895","0.592","0.86","0.688","Highest Resource"
"06037270200","#N/A","Los Angeles","06037","Los Angeles Region","0.87","0.114","0.559","0.126","High Resource"
"06037270300","#N/A","Los Angeles","06037","Los Angeles Region","0.893","0.148","0.233","-0.029","Moderate Resource"
"06037271100","#N/A","Los Angeles","06037","Los Angeles Region","0.869","0.409","0.955","0.773","Highest Resource"
"06037271200","#N/A","Los Angeles","06037","Los Angeles Region","0.859","0.246","0.908","0.601","Highest Resource"
"06037271300","#N/A","Los Angeles","06037","Los Angeles Region","0.912","0.243","0.9","0.675","Highest Resource"
"06037271400","#N/A","Los Angeles","06037","Los Angeles Region","0.922","0.861","0.738","0.668","Highest Resource"
"06037271500","#N/A","Los Angeles","06037","Los Angeles Region","0.967","0.946","0.923","1.059","Highest Resource"
"06037271600","#N/A","Los Angeles","06037","Los Angeles Region","0.854","0.647","0.879","0.658","Highest Resource"
"06037271701","#N/A","Los Angeles","06037","Los Angeles Region","0.945","0.723","0.722","0.645","Highest Resource"
"06037271702","#N/A","Los Angeles","06037","Los Angeles Region","0.847","0.188","0.884","0.522","Highest Resource"
"06037271801","#N/A","Los Angeles","06037","Los Angeles Region","0.825","0.554","0.737","0.433","High Resource"
"06037271802","#N/A","Los Angeles","06037","Los Angeles Region","0.891","0.901","0.59","0.455","High Resource"
"06037271901","#N/A","Los Angeles","06037","Los Angeles Region","0.906","0.684","0.766","0.614","Highest Resource"
"06037271902","#N/A","Los Angeles","06037","Los Angeles Region","0.898","0.948","0.725","0.66","Highest Resource"
"06037272100","#N/A","Los Angeles","06037","Los Angeles Region","0.911","0.922","0.509","0.427","High Resource"
"06037272201","#N/A","Los Angeles","06037","Los Angeles Region","0.817","0.936","0.546","0.331","High Resource"
"06037272202","#N/A","Los Angeles","06037","Los Angeles Region","0.821","0.921","0.496","0.281","High Resource"
"06037272301","#N/A","Los Angeles","06037","Los Angeles Region","0.899","0.885","0.449","0.341","High Resource"
"06037272302","#N/A","Los Angeles","06037","Los Angeles Region","0.852","0.899","0.482","0.301","High Resource"
"06037273100","#N/A","Los Angeles","06037","Los Angeles Region","0.974","0.824","0.857","0.908","Highest Resource"
"06037273200","#N/A","Los Angeles","06037","Los Angeles Region","0.928","0.719","0.835","0.746","Highest Resource"
"06037273300","#N/A","Los Angeles","06037","Los Angeles Region","0.932","0.827","0.763","0.695","Highest Resource"
"06037273402","#N/A","Los Angeles","06037","Los Angeles Region","0.98","0.896","0.763","0.843","Highest Resource"
"06037273502","#N/A","Los Angeles","06037","Los Angeles Region","0.983","0.765","0.835","0.895","Highest Resource"
"06037273600","#N/A","Los Angeles","06037","Los Angeles Region","0.982","0.508","0.835","0.829","Highest Resource"
"06037273700","#N/A","Los Angeles","06037","Los Angeles Region","0.972","0.876","0.883","0.955","Highest Resource"
"06037273800","#N/A","Los Angeles","06037","Los Angeles Region","0.982","0.51","0.861","0.854","Highest Resource"
"06037273902","#N/A","Los Angeles","06037","Los Angeles Region","0.962","0.485","0.835","0.76","Highest Resource"
"06037274100","#N/A","Los Angeles","06037","Los Angeles Region","0.871","0.17","0.651","0.277","High Resource"
"06037274202","#N/A","Los Angeles","06037","Los Angeles Region","0.931","0.564","0.79","0.657","Highest Resource"
"06037275101","#N/A","Los Angeles","06037","Los Angeles Region","0.906","0.462","0.882","0.696","Highest Resource"
"06037275102","#N/A","Los Angeles","06037","Los Angeles Region","0.739","0.351","0.443","-0.002","Moderate Resource"
"06037275200","#N/A","Los Angeles","06037","Los Angeles Region","0.729","0.859","0.444","0.123","High Resource"
"06037275302","#N/A","Los Angeles","06037","Los Angeles Region","0.865","0.206","0.759","0.407","High Resource"
"06037275311","#N/A","Los Angeles","06037","Los Angeles Region","0.846","0.694","0.787","0.55","Highest Resource"
"06037275400","#N/A","Los Angeles","06037","Los Angeles Region","0.955","0.6","0.768","0.689","Highest Resource"
"06037275500","#N/A","Los Angeles","06037","Los Angeles Region","0.319","0.729","0.459","#N/A","High Segregation & Poverty"
"06037275602","#N/A","Los Angeles","06037","Los Angeles Region","0.931","0.286","0.875","0.686","Highest Resource"
"06037275603","#N/A","Los Angeles","06037","Los Angeles Region","0.902","0.389","0.861","0.644","Highest Resource"
"06037276000","#N/A","Los Angeles","06037","Los Angeles Region","0.942","0.507","0.85","0.738","Highest Resource"
"06037276100","#N/A","Los Angeles","06037","Los Angeles Region","0.884","0.423","0.503","0.232","High Resource"
"06037276400","#N/A","Los Angeles","06037","Los Angeles Region","0.855","0.925","0.879","0.749","Highest Resource"
"06037276500","#N/A","Los Angeles","06037","Los Angeles Region","0.742","0.553","0.823","0.454","High Resource"
"06037276601","#N/A","Los Angeles","06037","Los Angeles Region","0.925","0.33","0.81","0.61","Highest Resource"
"06037276603","#N/A","Los Angeles","06037","Los Angeles Region","0.875","0.931","0.898","0.814","Highest Resource"
"06037276604","#N/A","Los Angeles","06037","Los Angeles Region","0.89","0.87","0.898","0.808","Highest Resource"
"06037277000","#N/A","Los Angeles","06037","Los Angeles Region","0.937","0.675","0.887","0.811","Highest Resource"
"06037277100","#N/A","Los Angeles","06037","Los Angeles Region","0.915","0.163","0.605","0.288","High Resource"
"06037277200","#N/A","Los Angeles","06037","Los Angeles Region","0.661","0.066","0.605","-0.073","Moderate Resource"
"06037277400","#N/A","Los Angeles","06037","Los Angeles Region","0.262","0.203","0.273","-0.424","Low Resource"
"06037278001","#N/A","Los Angeles","06037","Los Angeles Region","0.883","0.522","0.881","0.677","Highest Resource"
"06037278102","#N/A","Los Angeles","06037","Los Angeles Region","0.968","0.434","0.81","0.735","Highest Resource"
"06037291110","#N/A","Los Angeles","06037","Los Angeles Region","0.147","0.106","0.011","-0.884","Low Resource"
"06037291120","#N/A","Los Angeles","06037","Los Angeles Region","0.342","0.144","0.01","-0.751","Low Resource"
"06037291130","#N/A","Los Angeles","06037","Los Angeles Region","0.423","0.028","0.021","-0.787","Low Resource"
"06037291210","#N/A","Los Angeles","06037","Los Angeles Region","0.213","0.001","0.415","-0.996","Low Resource"
"06037291220","#N/A","Los Angeles","06037","Los Angeles Region","0.146","0","0.424","-1.042","Low Resource"
"06037291300","#N/A","Los Angeles","06037","Los Angeles Region","0.68","0.013","0.68","-0.116","Moderate Resource"
"06037292000","#N/A","Los Angeles","06037","Los Angeles Region","0.283","0.015","0.612","#N/A","High Segregation & Poverty"
"06037293201","#N/A","Los Angeles","06037","Los Angeles Region","0.432","0.548","0.596","-0.001","Moderate Resource"
"06037293202","#N/A","Los Angeles","06037","Los Angeles Region","0.162","0.595","0.562","-0.164","Moderate Resource"
"06037293301","#N/A","Los Angeles","06037","Los Angeles Region","0.784","0.869","0.699","0.434","High Resource"
"06037293302","#N/A","Los Angeles","06037","Los Angeles Region","0.378","0.539","0.333","-0.227","Moderate Resource"
"06037293304","#N/A","Los Angeles","06037","Los Angeles Region","0.374","0.57","0.405","-0.178","Moderate Resource"
"06037293306","#N/A","Los Angeles","06037","Los Angeles Region","0.614","0.479","0.405","-0.078","Moderate Resource"
"06037293307","#N/A","Los Angeles","06037","Los Angeles Region","0.255","0.6","0.405","-0.232","Moderate Resource"
"06037294110","#N/A","Los Angeles","06037","Los Angeles Region","0.072","0.448","0.59","-0.248","Moderate Resource"
"06037294120","#N/A","Los Angeles","06037","Los Angeles Region","0.083","0.178","0.548","-0.365","Low Resource"
"06037294200","#N/A","Los Angeles","06037","Los Angeles Region","0.356","0.525","0.39","-0.208","Moderate Resource"
"06037294301","#N/A","Los Angeles","06037","Los Angeles Region","0.491","0.335","0.209","-0.303","Moderate Resource"
"06037294302","#N/A","Los Angeles","06037","Los Angeles Region","0.231","0.249","0.207","-0.461","Low Resource"
"06037294410","#N/A","Los Angeles","06037","Los Angeles Region","0.109","0.408","0.333","-0.414","Low Resource"
"06037294421","#N/A","Los Angeles","06037","Los Angeles Region","0.144","0.414","0.333","-0.386","Low Resource"
"06037294510","#N/A","Los Angeles","06037","Los Angeles Region","0.051","0.737","0.483","-0.302","Moderate Resource"
"06037294520","#N/A","Los Angeles","06037","Los Angeles Region","0.359","0.673","0.487","-0.102","Moderate Resource"
"06037294610","#N/A","Los Angeles","06037","Los Angeles Region","0.227","0.58","0.456","-0.216","Moderate Resource"
"06037294620","#N/A","Los Angeles","06037","Los Angeles Region","0.034","0.032","0.456","-0.666","Low Resource"
"06037294701","#N/A","Los Angeles","06037","Los Angeles Region","0.044","0.009","0.435","#N/A","High Segregation & Poverty"
"06037294810","#N/A","Los Angeles","06037","Los Angeles Region","0.059","0.153","0.224","-0.632","Low Resource"
"06037294820","#N/A","Los Angeles","06037","Los Angeles Region","0.029","0.245","0.186","-0.667","Low Resource"
"06037294830","#N/A","Los Angeles","06037","Los Angeles Region","0.078","0.063","0.2","-0.702","Low Resource"
"06037294900","#N/A","Los Angeles","06037","Los Angeles Region","0.054","0.037","0.2","-0.768","Low Resource"
"06037295103","#N/A","Los Angeles","06037","Los Angeles Region","0.706","0.746","0.736","0.369","High Resource"
"06037296210","#N/A","Los Angeles","06037","Los Angeles Region","0.033","0.147","0.35","-0.603","Low Resource"
"06037296220","#N/A","Los Angeles","06037","Los Angeles Region","0.039","0.384","0.362","#N/A","High Segregation & Poverty"
"06037296300","#N/A","Los Angeles","06037","Los Angeles Region","0.467","0.758","0.736","0.233","High Resource"
"06037296401","#N/A","Los Angeles","06037","Los Angeles Region","0.614","0.975","0.629","0.32","High Resource"
"06037296402","#N/A","Los Angeles","06037","Los Angeles Region","0.565","0.908","0.68","0.277","High Resource"
