Application Number,Type of Tax Credit Funding,Construction Type,Developer,Housing Type,Project Address,Project Name,Project City,Project Zip Code,Project Phone Number,Project County,California Assembly District,California Senate District,Federal Congressional District,Census Tract,Assessor's Parcel Number (APN),Application Stage,Placed in Service (PIS) Date ,Last Building PIS Date,Total Units,Low Income Units,Number of SRO/Studio Units,Number of 1 Bedroom Units,Number of 2 Bedroom Units,Number of 3 Bedroom Units,Number of 4 Bedroom Units,Number of 5 Bedroom Units,Number of 6 Bedroom Units,Units at or below 20% AMI,Units at or below 30% AMI,Units at 35% AMI,Units at 40% AMI,Units at 45% AMI,Units at 50% AMI,Units at 55% AMI,Units at 60% AMI,Units at 70% AMI,Units at 80% AMI,Owner or Applicant Name,Owner/Applicant Contact,Owner/Applicant Address,Owner/Applicant City,Owner/Applicant State,Owner/Applicant Zip,Owner/Applicant Phone,Owner/Applicant Fax,General Partner (1),General Partner (2),General Partner (3),General Partner (4),General Partner (5),Management Company,Management Company Contact,Management Company Address,Management Company City,Management Company State,Management Company Zip,Management Company Phone,Management Company Fax,Annual Federal Award,Total State Award,,,
CA-2001-877,4 %,Acquisition/Rehab,,Senior,"3919 West Garden Grove Blvd., Orange, CA 92868     ",Community Garden Towers,Orange,92868,714-971-2522,Orange,69,34,46,761.02,231-253-13,Placed In Service,10/21/02,10/21/02,333,332,0,332,1,0,0,0,0,,,,,,,,,,,"Community Garden Partners, L.P.",Thomas J Yocis,"c/o Yocis & Cox, 340 Golden Shore, Suite 340",Long Beach,CA,90802,562-437-9797,562-437-6868,Housing Opportunities for the Elderly,,,,,Living Opportunities Management Company (LOMCO),Dean Salazar,3787 Worsham Ave,Long Beach,CA,90808-1774,562-595-7567,562-492-6674,"$665,051",$0,,,
CA-2001-878,4 %,Acquisition/Rehab,Chinatown CDC,Non Targeted,"1776 Sutter Street, San Francisco, CA 94109 ",Namiki Apartments,San Francisco,94109,415 922-1788,San Francisco,17,11,12,152,49-675,Placed In Service,5/1/02,05/01/02,34,33,0,33,1,0,0,0,0,,,,,,,,,,,"Namiki Apartments Limited Partnership, a CA LP",Glen Kellerer,1525 Grant Ave,San Francisco,CA,94133,415 984-1455,415-362-7992,Senior Apartments Namiki Inc.,,,,,Chinatown Community Development Center,Gordon Leung,1525 Grant Ave,San Francisco,CA,94133,415 984-1499,415 362-7992,"$207,954",$0,,,
CA-2001-880,4 %,New Construction,Klein Financial Corporation,Senior,"900 East Stanley Boulevard, Livermore, CA 94550     ",Heritage Estates Retirement Community,Livermore,94550,925-373-3636,Alameda,16,7,15,4516.02,,Placed In Service,5/11/04,05/11/04,250,103,0,103,0,0,0,0,0,,,,,,,,,,,"Livermore Senior Living Associates, L.P., a CA LP",Alan Bogomilsky,550 S. California Ave. Suite 330,Palo Alto,CA,94306,650-833-0100,650-833-0105,"Livermore Senior Housing Associates, LLC","Casa Major, Inc.",,,,LeisureCare,Michael Sturm,"1601 Fifth Avenue, Suite 1900",Seattle,WA,98101,206-436-7827,206-436-7705,"$422,516",$0,,,
CA-2001-881,4 %,Acquisition/Rehab,Corridor Economic Dev. Corp.,Non Targeted,"511 S. Mariposa, Los Angeles, CA 90020     ",Tri-City Housing (Site A),Los Angeles,90020,(323) 258-5320,Los Angeles,53,24,34,2118.03,,Placed In Service,4/15/03,02/27/04,142,142,0,94,32,8,8,0,0,,,,,,,,,,,"Tri-City Housing, L.P., a CA L.P.",Leanne Truofreh,"151 Kalmus Drive, Suite J-5",Costa Mesa,CA,92626,(714) 549-4100,(714) 549-4600,"WCH Affordable III, LLC",,,,,Barker Management Incorporated,Lupe Agoncillo,"1101 E. Orangewood, Suite 200",Anaheim,CA,92805,(714) 533-3450,(714) 533-8608,"$887,674",$0,,,
CA-2001-881,4 %,Acquisition/Rehab,,Non Targeted,"10803 Avalon Place, Los Angeles, CA 90020     ",Tri-City Housing (Site B),Los Angeles,90020,(323) 258-5320,Los Angeles,53,24,34,2121.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CA-2001-881,4 %,Acquisition/Rehab,,Non Targeted,"1139 E. Colorado Blvd., Los Angeles, CA 90020     ",Tri-City Housing (Site C),Los Angeles,90020,(323) 258-5320,Los Angeles,53,24,34,2118.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CA-2001-882,4 %,Acquisition/Rehab,"Pacific American Properties, Inc.",Large Family,"10685 Coloma Road, Rancho Cordova, CA 95670     ",Rancho Cordova Apartments,Rancho Cordova,95670,(916) 635-5888,Sacramento,8,4,7,89.07,056-0222-020,Placed In Service,12/31/02,12/31/02,95,91,0,11,43,38,0,0,0,,,,,,,,,,,"RC Rancho Cordova Associates, L.P.",Barbara Brack,"300 Turney, Suite 200",Sausalito,CA,94965,(415) 332-8393,(415) 332-8391,RC PAP Rancho Cordova  LLC,,,,,US Residential Group LLC,Dan Lisenby,"15771 Rockfield Blvd., Suite 200",Irvine,CA,92618,(916) 515-1800,(916) 515-1803,"$202,874",$0,,,
CA-2001-884,4 %,Acquisition/Rehab,"Pacific American Properties, Inc.",Large Family,"7301 29th Street, Sacramento, CA 95822     ",Florin Meadows Apartments,Sacramento,95822,916-422-4581,Sacramento,9,6,6,42.03,049-010-059 and 60,Placed In Service,12/31/02,12/31/02,244,242,0,0,156,88,0,0,0,,,,,,,,,,,"FM Florin Meadows Associates, L.P.",Barbara Brack,"300 Turney, Ste 200",Sausalito,CA,94965,415-332-8393x15,415-332-8391,"FM PAP Florin Meadows,  LLC",,,,,"Berkley Management, Inc.",Josh Berkley,"524 Main St., Suite 205",Woodland,CA,95695,530-753-5910,530-753-8976,"$491,655",$0,,,
CA-2001-885,4 %,New Construction,"St. Anton Capital, LLC",Large Family,"8131 Walerga Road, Antelope, CA 95843     ",Arlington Creek Apartments,Antelope,95843,916-721-0343,Sacramento,7,4,6,74.30,203-0070-134,Placed In Service,6/6/03,06/06/03,148,89,0,19,39,33,0,0,0,,,,,,,,,,,"Arlington Antelope L.P., a CA LP",Steven L. Eggert,"1801 I Street, Suite 200",Sacramento,CA,95811,916-444-9897,916-444-9843,Pacific Housing,,,,,"St. Anton Management, Inc",Andrew Worley,"1801 I Street, Suite 200",Sacramento,CA,95811,916-471-3003,916-444-7637,"$283,829",$0,,,
CA-2001-886,4 %,New Construction,Kawaeh Management Co.,Senior,"303 W. Kimball Avenue, Visalia, CA 93277     ",Kimball Court,Visalia,93277,559-636-2780,Tulare,26,16,22,20.07,126-100-031-000,Placed In Service,12/1/00,12/01/00,95,94,0,94,1,0,0,0,0,,,,,,,,,,,Kimball Court Associates,Cynthia Fernandez,P. O. Box 791,Visalia,CA,93279,5596273700 ext. 122,5597330169,Kaweah Management Company,,,,,Housing Authority of Tulare County,Ken Kugler,P. O. Box 791,Visalia,CA,93279,5596273700 ext 114,5597330169,"$206,354",$0,,,
CA-2001-888,4 %,New Construction,JSM Enterprises,Large Family,"410 North White Road, San Jose, CA 95127     ",Terramina Square Family Apartments,San Jose,95127,408 259-8105,Santa Clara,25,15,17,5038.02,"599-01-058,059,060,061",Placed In Service,8/4/03,08/07/03,157,156,0,52,57,48,0,0,0,,,,,,,,,,,"North White Road Associates, L.P.",Alexis Grant,3190 S. Bascom Avenue #220,San Jose,CA,95124,408 369-1220,408 369-1224,"Montalvo Associates, LLC",,,,,CA Real Estate Management Corporation,Jennifer Smith,3190 S. Bascom Avenue #240,San Jose,CA,95124,408 369-1220,408 369-1224,"$1,208,360",$0,,,
CA-2001-889,4 %,Rehabilitation,,Non Targeted,"2005 N. Guthrie Street, San Bernardino, CA 92404",Autumnwood Apartments,San Bernardino,92404,909-864-6001,San Bernardino,40,23,31,74.07,"285-751-10,285-503-12-22",Placed In Service,12/31/00,12/31/00,160,158,0,48,112,0,0,0,0,,,,,,,,,,,"Capital Foresight Communities III, L.P a Delaware",Scott Gray,2980 Beverly Glen Cir,Los Angeles,CA,90077,310-234-9598,310-234-9589,"AOF/Pacific CF Communities, LLC",,,,,Cannon Management,Peter Densmore,2900 Adams St. C200,Riverside,CA,92504,951-354-5365,951-354-8968,"$135,468",$0,,,
CA-2001-891,4 %,New Construction,BRIDGE Housing Corporation-SC,Non Targeted,"6811 Embarcadero Lane, Carlsbad, CA 92009     ",Poinsettia Station Apartments,Carlsbad,92009,760-438-8839,San Diego,76,36,49,178.13,214-450-25,Placed in Service,9/1/00,10/26/00,92,91,0,0,0,0,0,0,0,,,,,,,,,,,"Poinsettia Housing Associates, LP",Susan Johnson,"600 California Street, Suite 900",San Francisco,CA,94108,415-989-1111,415-495-4641,BRIDGE Housing Corporation – Southern California,,,,,BRIDGE Property Mangement Company,Joanna Yong,"600 California Street, Suite 900",San Francisco,Ca,94108,415-321-3584,415-495-4641,"$304,905",$0,,,
CA-2001-893,4 %,Acquisition/Rehab,"Eden Housing, Inc.",Non Targeted,"940 South Union Road, Manteca, CA 95337     ",Union Court Apartments,Manteca,95337,(209) 823-1352,San Joaquin,12,5,10,51.22,219-020-34,Placed In Service,5/1/02,05/01/02,68,62,0,0,63,0,0,0,0,,,,,,,,,,,"Union Court Limited Partnership, a CA LP",Linda Mandolini,22645 Grand St.,Hayward,CA,94541,(510) 582-1460,(510) 582-6523,"Eden Investments, Inc.",,,,,"Eden Housing Management, Inc",Mark Mascarenhas,22645 Grand St.,Hayward,CA,94541,(510) 582-1460,(510) 582-6523,"$241,885",$0,,,
CA-2001-895,4 %,Acquisition/Rehab,"A.F. Evans Company, Inc.",Large Family,"148 Crolis Garden Ct, Alameda, CA 94501     ",Playa del Alameda Apartments,Alameda,94501,510-521-6919,Alameda,18,9,13,4286,5046,Placed In Service,12/15/00,12/15/00,40,39,0,0,22,18,0,0,0,,,,,,,,,,,"Playa del Alameda Associates, a California L.P.",Basil Rallis,"2033 North Main St., Ste 340",Walnut Creek,CA,94596,925-482-9406,925-482-9270,"Bayside Playa, LLC",,,,,"Evans Property Management, Inc.",Lisa Parmley,"2033 North Main St., Ste 340",Walnut Creek,CA,94596,925-482-9426,925-482-9273,"$165,552",$0,,,
CA-2001-897,4 %,New Construction,Jamboree Housing Corporation,Large Family,"123 Calle Amistad, San Clemente, CA 92673     ",Talega Jamboree Apartments  Phase I,San Clemente,92673,949-498-6430,Orange,73,36,49,320.23,"701-041-11, 18, 35, 36",Placed In Service,1/29/03,01/29/03,124,123,,0,60,64,0,0,0,,,,,,,,,,,"Jamboree-Tal Housing, LP",Mary Jo Goelzer,"17701 Cowan Ave., Suite 200",Irvine,CA,92614,949-263-8676,949-263-0647,Jamboree Housing Corporation,,,,,The John Stewart Company,Maria Fernandez,"888 S. Figueroa St., Suite 700",Los Angeles,CA,90017,213-833-1860,213-833-1866,"$614,886",$0,,,
CA-2001-901,4 %,Acquisition/Rehab,,Non Targeted,"5441 N. Paramount Blvd., Long Beach, CA 90805     ",Parwood Apartments,Long Beach,90805,562-531-7880,Los Angeles,63,33,44,5706.03,7157-012-026 & 027,Placed In Service,1/30/02,11/21/02,528,526,0,32,400,96,0,0,0,,,,,,,,,,,"Avanath Northpointe, L.P., a CA LP",Ron Juskiewicz,"17901 Von Karman Avenue, Suite 150",Irvine,CA,92612,9492692700,9492692701,"Avanath GP, LLC",,,,,"McKinley Commercial, Inc.",Nicholas Dunlap,"17901 Von Karman Avenue, Suite 150",Irvine,CA,92612,9492692700,9492692701,"$1,833,435",$0,,,
CA-2001-902,4 %,New Construction,"DMA Gilroy Partners, L.P.",Senior,"1525 Margareta Place, Gilroy, CA 95020     ",Village Green Apartments,Gilroy,95020,408-848-8500,Santa Clara,30,17,19,5125.10,810-21-006,Placed In Service,8/7/03,08/07/03,75,74,0,53,22,0,0,0,0,,,,,,,,,,,"Village Green at Gilroy, L.P., a CA LP",John Andreini,"4029 Westerly Place, Suite 101",Newport Beach,CA,92660,650-573-1111,650-378-4282,"Affordable Housing Access, Inc.",,,,,VPM Management Inc.,Beverley Hansen,2400 Main Street Suite 201,Irvine,CA,92614,408-251-7543,8886371734,"$422,097",$0,,,
CA-2001-903,4 %,Acquisition/Rehab,BRIDGE Housing Corporation,Senior,"302 Fourth Street, San Rafael, CA 94901     ",San Rafael Commons,San Rafael,94901,415-459-4020,Marin,10,2,2,1101,14-092-22,Placed In Service,12/6/01,12/06/01,83,50,22,29,0,0,0,0,0,,,,,,,,,,,"Sanraf Associates, a CA Lp",Susan Johnson,"600 California Street, Suite 900",San Francisco,CA,94108,415-989-1111,415-495-4641,"Danville Senior Housing, Inc.",,,,,Urban Pacific Properties,Kereen Stoll,"601 Van Ness Avenue, Suite 2000",San Francisco,CA,94102,415-474-4474,415-929-1103,"$204,391",$0,,,
CA-2001-905,4 %,New Construction,,Senior,"1410 Roberts Avenue, San Jose, CA 95122     ",Oak Circle Apartments,San Jose,95122,408-971-9099,Santa Clara,27,15,19,5031.05,477-54-38,Placed In Service,7/11/03,07/11/03,100,98,0,91,9,0,0,0,0,,,,,,,,,,,Roberts Ave Senior Housing L.P.,Susan Johnson,"600 California Street, Suite 900",San Francisco,CA,94108,415-989-1111,415-495-4641,"Robert Avenue, Inc.",,,,,BRIDGE Property Management Company,Joanna Yong,"600 California Street, Suite 900",San Francisco,CA,94108,415-321-3584,415-495-4641,"$570,848",$0,,,
CA-2001-910,4 %,New Construction,"American Senior Living, Inc.",Senior,"1101 Sycamore Avenue, Tustin, CA 92780     ",Heritage Place at Tustin,Tustin,92780,714-734-6752,Orange,68,37,45,755.15,432-141-09,Placed In Service,5/20/03,05/20/03,54,53,0,42,12,0,0,0,0,,,,,,,,,,,"Tustin Heritage Place, a CA LP",Kenneth Robertson,3803 E. Casselle Ave,Orange,CA,92869,7146281650,7146281657,Riverside Charitable Corp.,,,,,USA Multifamily Management Inc,Victoria Critchfield,3200 Doulgas Blvd. #200,Roseville,CA,95661,9167243855,9167730529,"$199,021",$0,,,
CA-2001-911,4 %,Rehabilitation,VAHC & BSHDC,Non Targeted,"901 South Broadway, Los Angeles, CA 90015     ",Broadway Plaza Apartments,Los Angeles,90015,213.488.9182,Los Angeles,53,30,34,2079,5139-003-002,Placed In Service,7/26/10,07/26/10,82,16,8,7,2,0,0,0,0,,,,,,,,,,,901 South Broadway Limited Partnership,Allen Gross,"15303 Ventura Boulevard, suite 250",Sherman Oaks,CA,91403,818.285.0616,818.285.0621,Standard Development LLC,,,,,Standard Development LLC,Allen Gross," 15303 Ventura Boulevard, Suite 250",Sherman Oaks,CA,91403,818.285.0616,818.285.0621,"$193,869",$0,,,
CA-2001-912,4 %,Rehabilitation,"American Housing Construction, Inc.",Non Targeted,"3191 West 7th Street, Los Angeles, CA 90005     ",The Chancellor,Los Angeles,90005,213 487 0915,Los Angeles,53,24,34,2123.03,5094-007-010,Placed In Service,5/17/05,05/17/05,101,100,91,10,0,0,0,0,0,,,,,,,,,,,"The Chancellor Partners, L.P.",Ken Robertson,3803 E. Casselle Avenue,Orange,CA,92869,714 628 1650,714 628 1657,"Community Housing Assistance Program, Inc.",,,,,McCormack Baron Ragan Management Inc.,Michael Martinez,"720 Olive Street, Suite 2500",St. Louis,MO,63101,213 236 2694,213 236 2695,"$351,987",$0,,,
CA-2001-916,4 %,New Construction,"Simpson Housing Solutions, LLC",Senior,"445 Redwood Street, Vallejo, CA 94590     ",Bay View Vista Apartments,Vallejo,94590,707-649-2656,Solano,14,3,5,2518.02,0051-010-550,Placed In Service,11/5/03,11/05/03,194,192,0,157,37,0,0,0,0,,,,,,,,,,,"Solano Vista II Housing Investors, L.P.",Joseph Michaels,"531 Encinitas Blvd., Ste. 206",Encinitas,CA,92024,7609449050,7609449908,Las Palmas Foundation,,,,,ConAm Management,Clyde Capua,3990 Ruffin Rd Suite 100,San Diego,CA,92123,858-614-7283,858-614-7483,"$755,476",$0,,,
CA-2001-917,4 %,Rehabilitation,"Steadfast TC Development, LLC",Large Family,"2825 West Alamos Avenue, Fresno, CA 93705     ",Park West Apartments,Fresno,93705,(559) 226-4357,Fresno,23,8,16,47.01,424-030-54,Placed In Service,3/31/01,03/31/01,256,180,0,24,100,59,0,0,0,,,,,,,,,,,"Park West Apts, L.P.",Patrick De La Torre,46 East Peninsula Center Drive,Rolling Hills,CA,90274,3103733437,3102952216,"Park West Apts, Inc",,,,,"FPI Management, Inc.",Dennis Treadaway,800 Iron Point Road,Folsom,CA,95360,9163575312,9163575310,"$98,571",$0,,,
CA-2001-919,4 %,New Construction,"Simpson Housing Solutions, LLC",Senior,"1725 Almaden Road, San Jose, CA 951251902 ",Summercrest Villa Senior Apartments,San Jose,95125,408-264-2900,Santa Clara,27,15,19,5031.23,"455-21-037, -041 sand -059",Placed In Service,6/26/03,06/26/03,66,65,0,66,0,0,0,0,0,,,,,,,,,,,"Almaden Senior Housing Partners, L.P., a CA L.P.",Joseph Michaels,"531 Encinitas Blvd., Suite 206",Encinitas,CA,92024,7609449050,7609449908,Las Palmas Foundation,,,,,ConAm Management Corporation,Clyde Capua,3990 Ruffin Rd Suite 100,San Diego,CA,92123,858-614-7283,858-614-7483,"$389,124",$0,,,
CA-2001-920,4 %,Acquisition/Rehab,Preservation Properties II. LLC,Non Targeted,"851 S. Van Ness Avenue, Fresno, CA 93721     ",The Californian,Fresno,93721,559-485-8190,Fresno,31,14,16,1,468-255-14-5,Placed In Service,5/31/02,05/31/02,217,217,175,42,0,0,0,0,0,,,,,,,,,,,"Preservation Hotel California, L.P., a CA L.P.",James Perley,"111 N Sepulveda Blvd., #330",Manhattan Beach,CA,90266,310-374-4381,310-374-7298,Preservation Properties II LLC,,,,,Western America Properties,James Perley,"111 N Sepulveda Blvd., #330",Manhattan Beach,CA,90266,310-374-4381,310-374-7298,"$290,403",$0,,,
CA-2001-921,4 %,New Construction,"Miraflores, L.P.",Senior,"47747 Gertrude Way, La Quinta, CA 92253     ",Season at Miraflores,La Quinta,92253,760-564-9799,Riverside,42,28,36,451.21,649-030-045,Placed In Service,3/21/03,05/06/03,118,116,0,94,24,0,0,0,0,,,,,,,,,,,"Miraflores, L.P.",Tammy Smith,"110 Pine Avenue, Suite 500",Long Beach,CA,90802,562-684-1116,562-435-1054,LINC Housing Corporation,,,,,US Residential Group,Jeannie Bryan,"15771 Rockfield Blvd, Suite 200",Irvine,CA,92618,949-597-9700,949-597-9800,"$510,658",$0,,,
CA-2001-923,4 %,New Construction,ROEM Development Corporation,Senior,"1295 McLaughlin Avenue, San Jose, CA 95122     ",Shiraz Senior Housing,San Jose,95122,408-928-2750,Santa Clara,27,15,19,5031.17,"477-44-002, 025",Placed In Service,3/24/03,03/24/03,61,60,0,60,1,0,0,0,0,,,,,,,,,,,"Shiraz Senior Housing, L.P., a CA L.P.",DarrinWillard,"384 Forest Ave., Ste. 14",Laguna Beach,CA,92651,949-443-9101,949-443-9133,"Foundation for Affordable Housing II, Inc.",,,,,FPI Management,Karen Murphy,800 Iron Point Rd,Folsom,CA,95630,916-357-5300,916-358-7290,"$361,410",$0,,,
CA-2001-924,4 %,Acquisition/Rehab,CHOC,Large Family,"2000 Pennsylvania Avenue, Fairfield, CA 94533     ",Hampton Place / Gateway Village,Fairfield,94533,707-428-5223,Solano,11,3,3,2526.04,"0034-034-160to240,0034-034-280,0034-034-310to330",Placed In Service,8/24/01,08/24/01,56,55,0,0,38,18,0,0,0,,,,,,,,,,,"CHOC Gateway Village, L.P., a CA LP",Manuela Silva,"5030 Business Center Drive, Suite 260",Fairfield,CA,94534,707-759-6043,707-759-6053,Community Housing Opportunities Corporation,,,,,Sterling Asset Management Company,Peter Lundberg,"5030 Business Center Drive, Suite 260",Fairfield,CA,94534,707-759-6043,707-759-6053,"$327,638",$0,,,
CA-2001-925,4 %,New Construction,Corporation for Better Housing,Senior,"9920 Flora Vista Street, Bellflower, CA 90706     ",Bellflower Terrace,Bellflower,90706,562-866-8866,Los Angeles,58,32,38,5541.05,7109-009-902,Placed In Service,12/31/02,03/31/03,180,178,0,166,14,0,0,0,0,,,,,,,,,,,"9920 Flora Vista Street, L.P.",Lori Koester,5947 Variel Ave,Woodland Hills,CA,91367,818-905-2430,818-905-2440,Corporation for Better Housing,,,,,"CBH Property Management, LLC.",Joanna Ascencio,5947 Variel Ave,Woodland Hills,CA,91367,818-905-2430,818-905-3844,"$744,875",$0,,,
CA-2002-001,9 %,New Construction,"Western/Carlton II, L.P.",Large Family,"1672 N. Western Avenue, Hollywood, CA 90027     ",Hollywood Western Apartments Metro Hollywood,Hollywood,90027,323-462-0973,Los Angeles,43,24,28,1905.10,5544-21-900-904,Placed In Service,12/5/03,12/05/03,60,59,0,21,15,21,3,0,0,,,,,,,,,,,"Western/Carlton II, L.P., a CA LP",Dan Falcon,"720 Olive Street, Suite# 2500",St. Louis,MO,63101,213-236-2660,213-236-0707,MBA Urban Development Co.,,,,,"McCormack Baron Ragan Management Services, Inc.",Michael Martinez,"720 Olive Street, Suite# 2500",St. Louis,MO,63101,314-421-1160,314-621-0627,"$911,341",$0,,,
CA-2002-002,9 %,New Construction,Hollywood Community Housing Corp.,Special Needs,"5521 Harold Way, Hollywood, CA 90027     ",Harold Way Apartments,Hollywood,90027,(323) 465-0128,Los Angeles,43,24,28,1905.10,5544-024-001,Placed In Service,6/30/03,06/30/03,51,50,0,17,19,15,0,0,0,,,,,,,,,,,"Harold Way Apartments, L.P.",Malen Rodriguez,5020 Santa Monica Blvd.,Los Angeles,CA,90029,(323) 454-6212,(323) 454-4681,Hollywood Community Housing Corporation,,,,,Barker Management Incorporated,Carmen Hernandez,"1101 E. Orangewood, Suite 200",Anaheim,CA,92815,(714) 533-3450,(714) 533-8608,"$742,884",$0,,,
CA-2002-003,9 %,New Construction,Related Companies of California,Large Family,"1400 Gabriel Garcia Marquez Street, Los Angeles, CA 90033     ",Aliso Village - Phase I,Los Angeles,90033,323 - 466-1372,Los Angeles,53,24,34,2060.32,5173-028-900,Placed In Service,3/18/03,05/10/03,201,200,0,0,95,83,23,0,0,,,,,,,,,,,"Aliso Village Housing Partners, L.P., a CA LP",Scott Stephens,"18201 Van Karmen Ave., Suite 900",Irvine,CA,92612,949-265-4961,949-660-7273,"Related/Aliso Development Co., LLC",,,,,"McCormack Baron Ragan Management Services, Inc",Michael Martinez,720 Olive Street,St. Louis,MO,63101,213-236-2694,213-236-2695,"$3,182,273",$0,,,
CA-2002-004,9 %,New Construction,New Economics for Women/MBA Development Corp.,Large Family,"201 North  Beacon Street, San Pedro, CA 90731     ",Santa Cruz Terrace,San Pedro,90731,(310) 519-0774,Los Angeles,70,35,44,2962.10,7449-014-001,Placed In Service,12/9/03,12/09/03,48,47,0,4,25,19,0,0,0,,,,,,,,,,,"Santa Cruz Terrace, L.P.",Maggie Cervantes,303 South Loma Drive,Los Angeles,CA,90017,(213) 483-2060,(213) 483-7848,New Economics for Women,,,,,"New Capital, LLC",Sandra Villalobos,303 South Loma Drive,Los Angeles,CA,90017,(213) 484-1008,(213) 483-7848,"$732,333",$0,,,
CA-2002-005,9 %,New Construction,"American Housing Construction, Inc.",Special Needs,"9229 N. Sepulveda Blvd., Los Angeles, CA 91343 ",Apple Tree Village,Los Angeles,91343,(818) 920-9960,Los Angeles,46,18,29,1172.01,2656-026-004,Placed In Service,4/1/02,04/01/02,125,120,0,0,46,77,0,0,0,,,,,,,,,,,"Apple Tree Village Partners, L.P., a CA LP",Christina Alley,"3351 ""M"" Street, Suite 100",Merced,CA,95348,(209) 388-0782,(209) 385-3770,"American Housing Construction, Inc.",,,,,Barker Management Incorporated,Ana Alvarez,"1101 E. Orangewood, Suite 200",Anaheim,CA,92805,(714) 533-3450,(714) 533-8608,"$1,640,801",$0,,,
CA-2002-006,9 %,New Construction,"Greater Bethany Economic De.Corp., Phoenix Realty",Senior,"2330 Santa Ana Blvd., Los Angeles, CA 90059     ",M.L. Shepard Manor Senior Houisng,Los Angeles,90059,323-567-4104,Los Angeles,64,35,44,2430,6067-016-042 & 6067-016-012,Placed In Service,12/31/03,12/31/03,90,89,0,90,0,0,0,0,0,,,,,,,,,,,"ML Shepard Manor, L.P., a CA LP",Lori Settle,645 E. Madison Ave. 5th Floor,New York,NY,10022,212-838-3019,863-357-3731,"M.L. Shepard Manor, LLC",,,,,"Solari Entrerprises, Inc.",Gianna Solari,1572 N. Main Street,Orange,CA,92867,714-282-2520,714-282-2521,"$858,405",$0,,,
CA-2002-008,9 %,Acquisition/Rehab,Skid Row Housing Trust,SRO,"115 E. 3rd Street, Los Angeles, CA 90027 ",St. George Hotel,Los Angeles,90027,213-613-0703,Los Angeles,53,30,34,2073.02,5161-026-004,Placed In Service,12/31/03,12/31/03,88,86,87,1,0,0,0,0,0,,,,,,,,,,,St. George Affordable Housing Limited Partnership,Jo-Anne Cohen,1317 E 7th Street,Los Angeles,CA,90021,213-683-0522,213-683-0781,Skid Row Housing Trust,,,,,SRHT Property Management Company,LaCheryl Porter,1317 E 7th Street,Los Angeles,CA,90021,213-683-0522,213-683-0781,"$804,879",$0,,,
CA-2002-009,9 %,New Construction,Mercy  Housing California,Large Family,"136 Leibrandt Street, Santa Cruz, CA 95060     ",Nueva Vista,Santa Cruz,95060,831-459-9296,Santa Cruz,29,17,20,1010,"005-236-02,03,04,17,18 & 005-225-15,16 &005-236-01",Placed In Service,11/18/03,11/18/03,48,47,0,1,18,21,8,0,0,,,,,,,,,,,"Mercy Housing California XV, a CA L.P.",Yelena Zilberfayn,"1360 Mission Street, #300",San Francisco,CA,94103,415-355-7156,415-355-7101,Mercy Housing West,,,,,Mercy Housing Management Group,Michael Liebe,"1360 Mission Street, #300",San Francisco,CA,94103,415-355-7132,415-355-7101,"$908,266",$0,,,
CA-2002-010,9 %,New Construction,Palm Desert Development Company,Senior,"5875 Mission Blvd., Rubidoux, CA 92509     ",Mission Palms I,Rubidoux,92509,951-276-9529,Riverside,60,31,41,403.01,pending assignment by County Assessor,Placed In Service,9/1/04,10/27/04,109,108,0,88,20,1,0,0,0,,,,,,,,,,,Mission LaRue Limited Partnership,Bobbie Barnett,15635 Alton Parkway Suite 375,Irvin,CA,92618,949-878-9399,949-878-9379,Palm Desert Development,Housing Corporation of America,,,,ConAm Management Corporation,Clyde Capua,"3990 Ruffin Road, Suite 100",San Diego,ca,92123,858-614-7200,858-634-1403,"$914,269","$3,304,587",,,
CA-2002-014,9 %,New Construction,Core Development,SRO,"2010 Monterey Road, San Jose, CA 95112     ","Tully Gardens,  Phase II",San Jose,95112,408 278-7081,Santa Clara,27,15,19,5031.22,477-23-023,Placed In Service,12/23/03,12/23/04,152,151,149,0,3,0,0,0,0,,,,,,,,,,,"Tully Gardens Phase II, L.P., a CA LP",Mark Holmes,470 S. Market St,San Jose,CA,95113,408 292-7841 X 35,408 292-0339,The Core Companies,Core Development Inc.,,,,EAH,Blanca Castilleja,2169 E. Francisco Blvd # B,San Rafael,Ca,94901,408 766-3403,408 766-3423,"$1,255,769",$0,,,
CA-2002-023,9 %,New Construction,"California Avenue Senior Housing, LP",Senior,"1125 California Avenue, Bakersfield, CA 93301     ",California Avenue Senior Housing,Bakersfield,93301,(661) 324-5088,Kern,32,16,23,20,,Placed In Service,12/29/04,04/01/05,180,178,0,147,33,0,0,0,0,,,,,,,,,,,"California Avenue Senior Housing, L.P.",Leslie Stephens,"645 Madison Avenue, 5th Floor",New York,NY,1022,310-598-2697,,CalAve General Partner LLC,"Phoenix Realty Development Co., LLC",Greater Bethany Economic Dev Corp.,,,ConAm Management Corp,Clyde Capua,"3990 Ruffin Road, Suite 100",San Diego,CA,92123,858-614-7283,858-614-7483,"$1,757,720",$0,,,
